Team,Rating,Attack Rating,Midfield Rating,Defence Rating
LASK Linz,68,69,68,68
SK Rapid Wien,69,68,69,69
Santos Laguna,72,73,72,71
FK Austria Wien,68,67,69,68
Tiburones Rojos de Veracruz,68,71,67,65
CD Tenerife,70,69,71,69
Pachuca,72,71,74,71
SK Slavia Praha,73,73,74,74
Querétaro,70,71,67,68
Sparta Praha,71,69,72,71
Puebla FC,70,73,69,67
Brøndby IF,68,68,70,67
SC Fortuna Köln,64,64,63,63
Aarhus GF,66,67,66,65
SV Sandhausen,69,67,69,70
Odense Boldklub,67,67,65,67
AEK Athens,73,74,73,73
FC Würzburger Kickers,65,64,65,65
Olympiacos CFP,75,73,75,73
Accrington Stanley,63,68,63,63
ESTAC Troyes,68,69,67,68
GFC Ajaccio,66,65,66,67
Rosenborg BK,70,70,71,69
FC St. Pauli,70,72,70,68
Lillestrøm SK,63,62,64,64
US Salernitana 1919,69,71,69,67
Bohemian FC,59,57,59,59
Fiorentina,76,78,76,76
Shamrock Rovers,62,62,63,62
Club Atlético Lanús,71,75,70,71
PFC CSKA Moscow,74,73,74,71
Newell's Old Boys,69,67,69,67
IFK Göteborg,65,68,64,64
Club Atlético Banfield,69,65,69,68
Malmö FF,70,71,71,69
Club Atlético Colón,72,72,71,71
Grasshopper Club Zürich,66,67,68,60
Valenciennes FC,67,68,68,67
Galatasaray SK,76,76,77,75
Fenerbahçe SK,76,76,74,76
Rangers FC,73,74,72,71
Birmingham City,70,72,70,70
Charlton Athletic,67,67,66,67
Viktoria Plzeň,72,72,71,71
Derby County,71,72,71,71
Beşiktaş JK,77,79,78,76
Grimsby Town,62,63,60,62
Hallescher FC,64,62,66,64
Yeovil Town,61,61,61,62
Ipswich Town,68,67,66,68
Eintracht Braunschweig,65,66,65,64
Leicester City,78,78,76,79
SV Darmstadt 98,70,69,70,68
Lecce,68,70,67,69
Millwall,69,69,69,69
Genoa,74,75,75,73
Morecambe,60,58,60,59
Sunderland,68,70,68,67
Dijon FCO,72,73,72,71
West Bromwich Albion,73,74,72,74
Stevenage,62,62,61,61
Rosario Central,71,73,72,70
Wolverhampton Wanderers,77,75,80,76
Stade Brestois 29,69,70,69,70
Patronato,68,65,68,67
Crewe Alexandra,60,61,60,60
Stade de Reims,74,73,73,73
Carlisle United,63,61,62,64
Shrewsbury,65,64,65,65
PAOK,75,71,76,75
FC Midtjylland,70,69,70,71
1. FC Magdeburg,68,67,67,68
Doncaster Rovers,65,67,66,64
Molde FK,69,70,68,68
IK Start,62,63,62,62
FC Carl Zeiss Jena,63,65,62,63
Exeter City,63,64,62,63
Tromsø IL,63,62,65,62
FSV Zwickau,65,63,65,66
Fulham,75,78,76,73
Angers SCO,74,72,74,74
SV Meppen,65,65,65,64
Lincoln City,65,64,65,66
Górnik Zabrze,65,69,65,63
Fortuna Düsseldorf,73,74,73,73
Wisła Płock,65,66,66,62
DSC Arminia Bielefeld,69,70,69,69
VfL Sportfreunde Lotte,64,63,64,64
Cork City,62,65,62,61
GIF Sundsvall,65,65,67,64
Crotone,69,69,69,68
St. Patrick's Athletic,61,61,62,61
Spezia,68,67,68,67
AIK,69,71,72,67
Neuchâtel Xamax,64,66,65,62
VfL Bochum 1848,70,71,71,70
Trabzonspor,72,75,73,70
FC Energie Cottbus,63,64,64,63
Derry City,58,56,60,58
Athletic Club de Bilbao,79,80,80,78
SpVgg Greuther Fürth,68,68,66,69
Real Betis,80,79,80,80
RC Celta,77,80,77,75
Jagiellonia Białystok,67,70,69,65
Bahia,71,70,71,71
RCD Espanyol,77,77,77,75
RCD Mallorca,69,69,70,67
Pogoń Szczecin,67,67,66,63
Real Sociedad,78,79,77,76
Cracovia,65,66,66,64
Real Sporting de Gijón,72,72,71,72
Valencia CF,80,79,81,79
Zagłębie Lubin,65,65,65,64
Real Valladolid CF,74,74,73,72
Incheon United FC,64,67,62,63
Hertha BSC,77,77,76,77
FC Sion,68,65,68,65
KFC Uerdingen 05,66,67,65,67
Club León,72,68,72,72
1. FSV Mainz 05,75,74,76,74
Deportivo Alavés,76,76,77,76
Grêmio,75,74,73,74
1. FC Nürnberg,72,73,72,72
FC Thun,64,70,66,60
SD Eibar,77,79,77,76
Real Oviedo,71,72,72,71
Vitória,71,72,72,72
CD Lugo,70,71,70,69
Le Havre AC,67,68,67,68
SpVgg Unterhaching,65,67,65,64
Granada CF,71,72,72,70
Empoli,72,74,72,72
VfL Wolfsburg,78,77,78,77
SD Huesca,73,74,73,72
KSV Cercle Brugge,68,69,68,67
CF Reus Deportiu,61,62,61,61
Elche CF,68,70,68,68
Sandefjord Fotball,63,63,63,63
Crawley Town,62,64,61,60
Extremadura UD,68,69,68,68
Foggia,68,69,68,66
UD Las Palmas,72,74,70,72
Dundee FC,63,66,63,64
SV Mattersburg,65,65,64,64
Padova,68,68,67,68
CD Numancia,69,70,70,69
Hamilton Academical FC,62,62,61,62
Randers FC,64,63,66,65
CA Osasuna,71,72,72,70
FC Nordsjælland,66,66,66,67
Waasland-Beveren,67,68,68,66
Rayo Vallecano,74,78,75,73
Portsmouth,66,67,66,66
Sevilla FC,80,81,80,79
Kaizer Chiefs,69,70,67,66
Bologna,75,76,76,73
Norwich City,72,76,72,71
Villarreal CF,79,78,79,78
Reading,70,71,69,70
Brescia,70,72,69,69
Hannover 96,74,73,74,74
Orlando Pirates,68,68,69,66
Sheffield United,72,72,72,72
Shanghai Greenland Shenhua FC,66,68,68,62
VfL Osnabrück,66,67,67,65
FC Red Bull Salzburg,74,74,74,73
Universidad Católica,72,72,72,70
Watford,77,78,78,77
Chievo Verona,73,73,74,72
Unión Española,66,67,65,66
Burnley,77,77,75,77
Perugia,70,70,69,69
Colo-Colo,71,74,71,71
Rotherham United,67,67,68,67
Pescara,69,67,70,68
Argentinos Juniors,69,71,70,68
Venezia FC,67,68,68,68
Milton Keynes Dons,65,66,64,64
Belgrano de Córdoba,68,67,69,65
Lobos BUAP,68,69,67,66
Hellas Verona,71,72,69,70
SK Sturm Graz,67,67,66,70
Stade Malherbe Caen,72,70,72,73
Dinamo Zagreb,72,72,73,72
La Berrichonne de Châteauroux,65,67,65,65
FC Lorient,68,69,68,68
Olympique de Marseille,78,79,80,76
Nîmes Olympique,73,73,75,72
FC Sochaux-Montbéliard,67,67,66,66
RSC Anderlecht,73,74,73,71
Royal Antwerp FC,72,72,73,72
Club Brugge KV,75,76,76,74
Standard de Liège,73,72,74,72
SL Benfica,79,79,79,79
FC Porto,80,79,81,83
Sporting CP,78,78,78,78
Atlético Madrid,84,85,83,84
FC Barcelona,86,87,86,85
Deportivo de La Coruña,73,74,74,71
Real Madrid,86,83,88,86
Crystal Palace,77,79,77,76
Real Zaragoza,70,70,69,69
Coventry City,64,63,65,64
Ajax,80,79,81,79
Feyenoord,74,77,76,73
Preston North End,70,71,71,69
PSV,77,81,75,76
Gillingham,64,66,64,64
Walsall,64,63,65,63
Bradford City,65,64,66,63
Grenoble Foot 38,66,66,67,67
Stoke City,72,72,73,71
Sheffield Wednesday,71,71,71,69
Brighton & Hove Albion,76,76,77,76
Toulouse Football Club,73,75,71,73
CD Feirense,68,67,69,68
Chamois Niortais Football Club,66,70,65,65
TSG 1899 Hoffenheim,78,77,79,79
