Name,Age,Photo,Nationality,Overall,Growth,TeamID,PosistionID,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,1,94,0,1,2,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8
Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,2,94,0,2,1,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11
Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,3,92,1,3,3,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11
De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,4,91,2,4,11,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94
K. De Bruyne,27,https://cdn.sofifa.org/players/4/19/192985.png,5,91,1,5,5,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13
E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,5,91,0,6,2,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8
L. Modrić,32,https://cdn.sofifa.org/players/4/19/177003.png,6,91,0,7,5,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9
L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,7,91,0,1,1,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37
Sergio Ramos,32,https://cdn.sofifa.org/players/4/19/155862.png,4,91,0,7,10,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11
J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,8,90,3,8,11,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89
R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,9,90,0,9,1,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10
T. Kroos,28,https://cdn.sofifa.org/players/4/19/182521.png,10,90,0,7,5,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10
D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,7,90,0,8,10,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15
David Silva,32,https://cdn.sofifa.org/players/4/19/168542.png,4,90,0,5,5,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12
N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,11,89,1,6,7,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10
P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,1,89,5,2,2,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8
H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,12,89,2,10,1,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11
A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,11,89,1,8,4,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14
M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,10,89,3,1,11,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90
T. Courtois,26,https://cdn.sofifa.org/players/4/19/192119.png,5,89,1,7,11,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,85,91,72,86,88
Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,4,89,0,1,7,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13
E. Cavani,31,https://cdn.sofifa.org/players/4/19/179813.png,7,89,0,3,1,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10
M. Neuer,32,https://cdn.sofifa.org/players/4/19/167495.png,10,89,0,9,11,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,90,86,91,87,87
S. Agüero,30,https://cdn.sofifa.org/players/4/19/153079.png,1,89,0,5,1,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14
G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,13,89,0,2,10,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3
K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,11,88,7,3,6,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6
M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,14,88,1,11,6,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14
Casemiro,26,https://cdn.sofifa.org/players/4/19/200145.png,3,88,2,7,7,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12
J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,15,88,1,9,4,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14
L. Insigne,27,https://cdn.sofifa.org/players/4/19/198219.png,13,88,0,12,3,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10
Isco,26,https://cdn.sofifa.org/players/4/19/197781.png,4,88,3,7,3,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6
