Team,Rating,Attack Rating,Defence Rating
Arsenal,79.88272727272728,82.43101889390397,80.01086709724949
Chelsea,82.77727272727273,84.40672762390248,81.12233164242558
Everton,78.53999999999999,79.87756273939084,79.79128601718993
Liverpool,82.95,86.3862018050065,82.56460654762863
Manchester City,83.98636363636363,86.88109783172203,82.04989444424206
Manchester United,81.44909090909091,84.79083425700436,81.41824808184806
Newcastle United,75.98181818181818,78.47023973392271,75.94460792916193
Southampton,75.4909090909091,76.77873519082966,75.82037643264277
Tottenham Hotspur,82.72000000000001,85.45755550945299,83.02542478673627
West Ham United,77.68181818181819,80.56138398277947,77.20527308056285
Leicester City,77.38545454545455,78.44714903976735,79.05015970942927
Wolverhampton Wanderers,77.39909090909092,78.71197082400892,77.88798580787841
Fulham,73.88545454545455,78.25432546962669,73.65251219080403
Watford,76.68818181818182,79.66245397940753,76.71872173668699
Burnley,76.00363636363637,76.44429343826057,77.83393486087301
Crystal Palace,76.8990909090909,78.68368306985816,76.89581177449439
Brighton & Hove Albion,75.58272727272728,76.78901197957039,76.09080967166473
Huddersfield Town,73.16545454545454,74.28256066952814,74.7442270769749
Bournemouth,76.51090909090908,78.79739773398398,76.23323427410882
Cardiff City,72.94181818181818,75.08751615891627,73.78481205781415
FC Girondins de Bordeaux,74.07,75.06609970519112,74.83801296731204
En Avant de Guingamp,72.7490909090909,75.9344135251958,73.05764474817916
LOSC Lille,76.4790909090909,78.08295428084783,75.97468938815217
Olympique Lyonnais,79.19545454545455,82.64320980152054,78.97970783584302
AS Monaco,78.44090909090909,80.44288704325014,76.70593372363113
Montpellier HSC,75.07545454545453,75.81871255886952,76.85100018384233
FC Nantes,74.72,75.90305888702709,74.76366256964903
OGC Nice,75.52272727272727,77.56231409819401,76.97473900971416
Paris Saint-Germain,83.59818181818183,86.89850795638365,82.40132556277301
Stade Rennais FC,75.64090909090909,78.62371776522879,74.28719311819886
RC Strasbourg Alsace,73.56363636363636,75.66278019049159,74.27601164114034
Stade Malherbe Caen,70.88272727272728,71.69235461253574,72.3337404859587
Olympique de Marseille,78.28636363636365,81.5321515321457,77.14403200106022
Nîmes Olympique,73.26454545454546,75.21225716012817,72.76295641421035
Stade de Reims,73.63454545454546,74.94497052184623,74.06214268375665
Angers SCO,73.06454545454545,75.35755506963832,74.45637186826313
Toulouse Football Club,73.41818181818182,75.50337442931364,73.48024175526938
Amiens SC,73.15545454545453,75.14586985325725,73.59237783494335
AS Saint-Étienne,76.31090909090909,77.61645807157673,76.74760364885177
Dijon FCO,71.87272727272727,74.94960691654114,70.71596065705585
FC Bayern München,83.50818181818182,86.39031133254976,83.40518088492833
Borussia Dortmund,81.04545454545455,83.95016529258815,80.97749366912639
Borussia Mönchengladbach,78.12727272727273,81.19801204770351,77.63721654700743
SC Freiburg,73.36909090909091,74.85265122209681,72.71640262612449
Bayer 04 Leverkusen,79.68272727272728,81.72655852828012,78.49584832701774
FC Schalke 04,77.18727272727273,78.8724718018136,78.02546942602382
VfB Stuttgart,74.50999999999999,76.9784958343498,75.36884039124745
SV Werder Bremen,76.95454545454545,79.52730822556833,75.92615063750955
Hertha BSC,76.88545454545456,78.2719455847076,77.2294353538899
1. FSV Mainz 05,74.34727272727272,76.1746707633129,75.49437139594927
1. FC Nürnberg,71.98454545454545,73.95983461547034,72.78608336578904
VfL Wolfsburg,77.51363636363637,77.92359046892479,78.65613758908825
Hannover 96,74.19,75.43866276456447,73.92599427378751
Eintracht Frankfurt,77.03727272727274,80.42638956130388,76.47070143319974
TSG 1899 Hoffenheim,77.63181818181816,79.58569295058011,77.29874480369068
FC Augsburg,74.01363636363637,75.91644989437145,74.53131489748085
Fortuna Düsseldorf,72.11454545454545,75.11224642609251,71.64777898946096
RB Leipzig,78.02,80.96324364718751,77.52570880162358
Atalanta,77.55636363636364,79.4055184992318,76.45449328972444
Inter,81.96000000000001,82.81875668535972,82.95271662395031
Juventus,83.97636363636364,85.89410665873935,84.2981853546182
Lazio,80.7290909090909,83.1993651096964,80.89322560092313
Milan,79.39181818181818,80.8562523184478,80.17842503203443
Napoli,82.03,84.27751907115626,80.64623348006802
Parma,73.23818181818181,75.99436097352344,73.2378978727079
Roma,79.53454545454545,80.85550801523108,79.81412736168699
Torino,77.81727272727272,79.2443811354476,78.65176781655376
Udinese,74.66363636363636,77.76183161940797,74.94737866891217
Bologna,75.18636363636364,78.37519664800011,76.0336527587288
Chievo Verona,72.84727272727274,74.53228191716569,73.34356497440227
Empoli,72.39363636363636,75.70016821792768,73.76762571325285
Sampdoria,75.4290909090909,78.42235659121305,74.36997603519397
Cagliari,75.41727272727275,78.8450154423153,75.54428105426904
Fiorentina,76.32181818181819,78.2610172203428,75.94601453976726
Genoa,74.32909090909092,76.81649692091158,75.0457770956858
Frosinone,71.02272727272727,72.84883824971212,72.19801334660686
Sassuolo,74.82363636363638,75.87746664367513,74.73954313753096
SPAL,73.85545454545455,75.75074979814636,73.88228226594755
Atlético Madrid,83.3790909090909,85.12926895604916,83.88599868777301
FC Barcelona,85.42727272727274,87.84395708620178,84.79356906657516
Real Madrid,84.55636363636364,87.31683462605615,83.66569645244613
Athletic Club de Bilbao,78.94818181818182,81.38340395107757,77.8452091597013
Real Betis,79.32363636363635,81.67049695148184,79.1933340276325
RC Celta,76.60363636363637,79.1907846149975,74.82206900898585
RCD Espanyol,75.95545454545456,78.6059085881371,75.72367021952908
Real Sociedad,77.8009090909091,79.3496615899739,76.54336675544074
Valencia CF,80.14727272727274,82.54238604265767,80.35951355437614
Real Valladolid CF,72.80272727272727,74.17137655154045,72.8591770953859
Deportivo Alavés,76.10818181818182,76.68457643496369,76.23838232390102
SD Eibar,76.17818181818181,79.02922453786756,76.45212990002989
Rayo Vallecano,73.60636363636364,76.52451776764569,73.61711845953636
Sevilla FC,79.16545454545455,82.56039316199225,77.7773348803979
Villarreal CF,77.32636363636364,80.82259822467688,76.7341444625888
Levante UD,76.04454545454546,79.88841327848075,74.40664071293155
Getafe CF,75.78727272727274,78.34008882609177,76.2210960168044
CD Leganés,74.28272727272726,76.39401967534472,74.15452196348848
Girona FC,76.58272727272728,78.33128865026316,76.53554114885175
SD Huesca,71.65454545454546,74.04941124753928,71.70708508756739
