ID,Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,PositionType
18,CAM,0,0.07,0,0.16,0,0.13,0,0,0.04,0.15,0.04,0.03,0.03,0.07,0,0,0,0,0,0.05,0,0,0.09,0.14,0,0,0,0,0,0,0,0,0,0,3
5,CB,0,0,0.1,0.05,0,0,0,0,0,0.04,0,0.02,0,0.05,0,0,0.03,0,0.1,0,0.07,0.13,0,0,0,0,0.14,0.17,0.1,0,0,0,0,0,4
10,CDM,0,0,0,0.14,0,0,0,0,0.1,0.1,0,0,0,0.07,0,0,0,0.06,0.04,0,0.05,0.14,0,0.04,0,0,0.09,0.12,0.05,0,0,0,0,0,3
21,CF,0,0.11,0.02,0.09,0,0.14,0,0,0,0.15,0.05,0.05,0,0.09,0,0.05,0,0,0,0.04,0,0,0.13,0.08,0,0,0,0,0,0,0,0,0,0,1
14,CM,0,0.02,0,0.17,0,0.07,0,0,0.13,0.14,0,0,0,0.08,0,0,0,0.06,0,0.04,0,0.05,0.06,0.13,0,0,0,0.05,0,0,0,0,0,0,3
0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.21,0.05,0.21,0.21,5
7,LB,0.09,0,0.04,0.07,0,0,0,0,0,0.07,0.05,0.07,0,0.08,0,0,0,0.08,0,0,0,0.12,0,0,0,0,0.08,0.11,0.14,0,0,0,0,0,2
16,LM,0.1,0.06,0,0.11,0,0.15,0,0,0.05,0.13,0.07,0.06,0,0.07,0,0,0,0.05,0,0,0,0,0.08,0.07,0,0,0,0,0,0,0,0,0,0,3
27,LW,0.09,0.1,0,0.09,0,0.16,0,0,0,0.14,0.07,0.06,0.03,0.07,0,0,0,0,,0.04,0,0,0.09,0.06,0,0,0,0,0,0,0,0,0,0,1
8,LWB,0.12,0,0,0.1,0,0.04,0,0,0,0.08,0.04,0.06,0,0.08,0,0,0,0.1,0,0,0,0.12,0,0,0,0,0.07,0.08,0.11,0,0,0,0,0,2
25,ST,0,0.18,0.1,0.05,0.02,0.07,0,0,0,0.1,0.04,0.05,0,0.08,0,0.1,0,0,0.05,0.03,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,1
3,RB,0.09,0,0.04,0.07,0,0,0,0,0,0.07,0.05,0.07,0,0.08,0,0,0,0.08,0,0,0,0.12,0,0,0,0,0.08,0.11,0.14,0,0,0,0,0,2
12,RM,0.1,0.06,0,0.11,0,0.15,0,0,0.05,0.13,0.07,0.06,0,0.07,0,0,0,0.05,0,0,0,0,0.08,0.07,0,0,0,0,0,0,0,0,0,0,3
23,RW,0.09,0.1,0,0.09,0,0.16,0,0,0,0.14,0.07,0.06,0.03,0.07,0,0,0,0,,0.04,0,0,0.09,0.06,0,0,0,0,0,0,0,0,0,0,1
2,RWB,0.12,0,0,0.1,0,0.04,0,0,0,0.08,0.04,0.06,0,0.08,0,0,0,0.1,0,0,0,0.12,0,0,0,0,0.07,0.08,0.11,0,0,0,0,0,2
22,LF,0,0.11,0.02,0.09,0,0.14,0,0,0,0.15,0.05,0.05,0,0.09,0,0.05,0,0,0,0.04,0,0,0.13,0.08,0,0,0,0,0,0,0,0,0,0,1
20,RF,0,0.11,0.02,0.09,0,0.14,0,0,0,0.15,0.05,0.05,0,0.09,0,0.05,0,0,0,0.04,0,0,0.13,0.08,0,0,0,0,0,0,0,0,0,0,1
